step,stat/constraint_violation
10000,368
20000,805
30000,1159
40000,1477
50000,1773
60000,2130
70000,2611
80000,2911
90000,3337
100000,3748
110000,4247
120000,4715
130000,5372
140000,6015
150000,6817
160000,7578
170000,8327
180000,8946
190000,9695
200000,10424
210000,11179
220000,11965
230000,12608
240000,13453
250000,14180
260000,14867
270000,15680
280000,16436
290000,17210
300000,18029
310000,18736
320000,19536
330000,20219
340000,20882
350000,21679
360000,22410
370000,23181
380000,23933
390000,24676
400000,25426
410000,26094
420000,26886
430000,27537
440000,28225
450000,28939
460000,29634
470000,30329
480000,31037
490000,31812
500000,32545
