step,stat/ep_constraint_violation
10000,8.4
20000,7.4
30000,2.6
40000,6.8
50000,2.7
60000,3.6
70000,7.6
80000,3.9
90000,5.7
100000,2.7
110000,5.2
120000,5.5
130000,4.5
140000,3.7
150000,12.2
160000,9.1
170000,6.8
180000,6.0
190000,6.0
200000,4.6
210000,6.1
220000,10.4
230000,7.8
240000,6.8
250000,6.6
260000,8.1
270000,5.1
280000,4.5
290000,6.9
300000,5.0
310000,6.0
320000,5.8
330000,5.4
340000,5.9
350000,7.3
360000,7.4
370000,5.9
380000,9.0
390000,7.2
400000,3.2
410000,5.7
420000,7.5
430000,4.9
440000,8.3
450000,7.1
460000,8.4
470000,8.7
480000,6.8
490000,8.5
500000,4.7
