step,stat/ep_length
10000,164.9
20000,99.2
30000,52.1
40000,113.3
50000,88.2
60000,94.7
70000,135.1
80000,151.0
90000,133.3
100000,112.8
110000,127.9
120000,132.2
130000,74.4
140000,53.3
150000,96.3
160000,88.5
170000,88.9
180000,70.7
190000,111.6
200000,95.8
210000,77.9
220000,128.0
230000,96.0
240000,67.5
250000,99.6
260000,78.5
270000,48.9
280000,91.6
290000,93.3
300000,52.4
310000,145.1
320000,86.6
330000,112.1
340000,89.7
350000,52.7
360000,79.9
370000,112.8
380000,111.6
390000,110.9
400000,74.2
410000,94.6
420000,86.2
430000,66.6
440000,119.4
450000,84.3
460000,89.6
470000,106.0
480000,87.0
490000,100.8
500000,120.4
