step,stat/constraint_violation
10000,368
20000,805
30000,1159
40000,1477
50000,1773
60000,2130
70000,2611
80000,2911
90000,3337
100000,3748
110000,4247
120000,4715
130000,5348
140000,6071
150000,6821
160000,7403
170000,8103
180000,8744
190000,9440
200000,10196
210000,10829
220000,11635
230000,12325
240000,13001
250000,13802
260000,14511
270000,15194
280000,15866
290000,16539
300000,17304
310000,18034
320000,18813
330000,19530
340000,20224
350000,20981
360000,21738
370000,22452
380000,23136
390000,23842
400000,24568
410000,25271
420000,25983
430000,26780
440000,27465
450000,28219
460000,28937
470000,29697
480000,30406
490000,31131
500000,31867
