step,stat/ep_constraint_violation
10000,8.4
20000,7.4
30000,2.6
40000,6.8
50000,2.7
60000,3.6
70000,7.6
80000,3.9
90000,5.7
100000,2.7
110000,5.2
120000,5.5
130000,9.9
140000,8.0
150000,11.1
160000,6.0
170000,6.3
180000,9.2
190000,2.8
200000,4.4
210000,0.4
220000,6.2
230000,5.1
240000,1.8
250000,4.1
260000,6.3
270000,5.9
280000,9.0
290000,6.4
300000,4.4
310000,9.0
320000,5.8
330000,6.7
340000,5.9
350000,9.1
360000,9.0
370000,2.4
380000,7.4
390000,6.6
400000,7.1
410000,10.3
420000,2.7
430000,7.8
440000,7.2
450000,10.1
460000,7.0
470000,6.5
480000,3.9
490000,7.5
500000,4.9
