step,stat/ep_length
10000,164.9
20000,99.2
30000,52.1
40000,113.3
50000,88.2
60000,94.7
70000,135.1
80000,151.0
90000,133.3
100000,112.8
110000,127.9
120000,132.2
130000,129.9
140000,115.9
150000,120.3
160000,92.5
170000,73.5
180000,110.7
190000,69.7
200000,83.2
210000,49.8
220000,123.0
230000,119.6
240000,95.9
250000,76.3
260000,83.6
270000,97.0
280000,114.2
290000,65.5
300000,58.6
310000,117.9
320000,100.9
330000,61.2
340000,111.1
350000,95.4
360000,120.1
370000,96.1
380000,69.9
390000,133.0
400000,83.5
410000,110.4
420000,71.0
430000,67.1
440000,96.0
450000,168.7
460000,100.9
470000,58.8
480000,51.0
490000,122.6
500000,101.3
