step,loss/value_loss
10000,345737.7942390918
20000,179661.38457560574
30000,221024.3068603802
40000,213301.52078039307
50000,167586.30639009507
60000,88845.96920439272
70000,132703.91067194229
80000,166954.8812170449
90000,60382.70689407431
100000,131103.7389837886
110000,43334.04876687838
120000,56179.52403040531
130000,79225.54957361644
140000,16456.051544805192
150000,28621.84933429237
160000,59342.07065213161
170000,50512.284735404304
180000,11931.671558128543
190000,11705.260372937455
200000,6131.413387714262
210000,7150.107450322347
220000,6596.849291292967
230000,6578.260287939411
240000,94636.60621727703
250000,35240.42857425345
260000,6415.173801831321
270000,14389.906090218265
280000,12796.57912242792
290000,17771.310893715818
300000,14970.07080201194
310000,20256.659162299453
320000,13286.614670714247
330000,9489.833074021717
340000,19165.044729672496
350000,12647.433879329603
360000,19797.25084323627
370000,18687.803720913063
380000,12000.115539103197
390000,10719.870685267848
400000,5529.802862840246
410000,24247.49538176495
420000,27907.964993746944
430000,10208.8947820365
440000,8773.887754833198
450000,18650.134577260083
460000,24288.899870806934
470000,13174.923724632583
480000,17838.238594183895
490000,7875.215491056054
500000,9604.56767021772
