step,stat/constraint_violation
10000,368
20000,805
30000,1159
40000,1477
50000,1773
60000,2130
70000,2611
80000,2911
90000,3337
100000,3748
110000,4247
120000,4715
130000,5193
140000,5747
150000,6179
160000,6810
170000,7333
180000,7907
190000,8486
200000,9038
210000,9609
220000,10195
230000,10676
240000,11345
250000,12006
260000,12613
270000,13119
280000,13534
290000,14010
300000,14469
310000,14992
320000,15628
330000,16183
340000,16738
350000,17207
360000,17731
370000,18290
380000,18964
390000,19511
400000,20134
410000,20689
420000,21232
430000,21825
440000,22490
450000,23016
460000,23647
470000,24181
480000,24783
490000,25356
500000,25923
