step,stat/ep_constraint_violation
10000,8.4
20000,7.4
30000,2.6
40000,6.8
50000,2.7
60000,3.6
70000,7.6
80000,3.9
90000,5.7
100000,2.7
110000,5.2
120000,5.5
130000,2.9
140000,2.6
150000,2.3
160000,5.0
170000,6.1
180000,6.5
190000,3.9
200000,9.7
210000,5.7
220000,6.7
230000,2.8
240000,1.2
250000,4.5
260000,4.7
270000,5.5
280000,4.9
290000,4.3
300000,4.6
310000,4.0
320000,4.5
330000,4.8
340000,6.0
350000,6.0
360000,5.5
370000,6.5
380000,4.8
390000,4.8
400000,6.7
410000,4.9
420000,5.7
430000,5.1
440000,3.4
450000,4.7
460000,3.6
470000,6.2
480000,6.8
490000,7.6
500000,7.5
