step,adv_reward/adv_reward_temperature
10000,30.0
20000,30.0
30000,30.0
40000,30.0
50000,30.0
60000,30.0
70000,30.0
80000,30.0
90000,30.0
100000,30.0
110000,30.0
120000,30.0
130000,30.0
140000,30.0
150000,30.0
160000,30.0
170000,30.0
180000,30.0
190000,30.0
200000,30.0
210000,30.0
220000,30.0
230000,30.0
240000,30.0
250000,30.0
260000,30.0
270000,30.0
280000,30.0
290000,30.0
300000,30.0
310000,30.0
320000,30.0
330000,30.0
340000,30.0
350000,30.0
360000,30.0
370000,30.0
380000,30.0
390000,30.0
400000,30.0
410000,30.0
420000,30.0
430000,30.0
440000,30.0
450000,30.0
460000,30.0
470000,30.0
480000,30.0
490000,30.0
500000,30.0
