step,loss/value_loss
10000,1096763.8971445442
20000,690934.6092337511
30000,669555.6119774675
40000,786294.582051397
50000,589581.8511550215
60000,397057.75092531875
70000,642686.3742164046
80000,750784.5228493206
90000,396388.67025844584
100000,561005.6812603481
110000,292768.91313399177
120000,364916.783182667
130000,80676.2250357452
140000,59522.567724976936
150000,61700.91489193676
160000,30373.487925667985
170000,75308.45130064205
180000,56660.62263932572
190000,48416.268990430326
200000,46519.13276802197
210000,32287.150115416043
220000,13518.865213531652
230000,24477.84045690536
240000,22008.535635136912
250000,15014.962697587825
260000,31085.653751862566
270000,11945.207131135065
280000,31309.94481279695
290000,16399.535366517517
300000,20191.906005152192
310000,10706.12257751023
320000,8810.742479783063
330000,12142.109270648818
340000,10409.020401483545
350000,19893.95281761541
360000,37732.67407112217
370000,7042.449589118621
380000,20723.045575192842
390000,18154.041693453495
400000,13232.49498784464
410000,11665.960662277179
420000,28601.0623823577
430000,28790.030960685915
440000,11218.119457004297
450000,7526.92030419517
460000,32391.971663633496
470000,5922.751103413806
480000,63901.417342073655
490000,8237.955580180007
500000,15797.782467944682
