step,stat/ep_constraint_violation
10000,8.4
20000,7.4
30000,2.6
40000,6.8
50000,2.7
60000,3.6
70000,7.6
80000,3.9
90000,5.7
100000,2.7
110000,5.2
120000,5.5
130000,7.3
140000,5.5
150000,10.6
160000,5.8
170000,6.4
180000,5.1
190000,7.8
200000,4.1
210000,10.0
220000,10.2
230000,8.9
240000,4.6
250000,8.1
260000,5.7
270000,4.9
280000,7.1
290000,7.0
300000,5.8
310000,8.6
320000,2.6
330000,6.4
340000,7.7
350000,4.0
360000,7.7
370000,6.8
380000,6.7
390000,3.3
400000,4.0
410000,5.0
420000,5.9
430000,6.1
440000,11.8
450000,10.0
460000,9.9
470000,7.0
480000,5.6
490000,2.7
500000,9.2
