step,stat/constraint_violation
10000,368
20000,805
30000,1159
40000,1477
50000,1773
60000,2130
70000,2611
80000,2911
90000,3337
100000,3748
110000,4247
120000,4715
130000,5433
140000,6164
150000,6999
160000,7700
170000,8427
180000,9247
190000,10054
200000,10807
210000,11640
220000,12298
230000,13006
240000,13882
250000,14647
260000,15469
270000,16266
280000,17074
290000,17821
300000,18602
310000,19376
320000,20159
330000,20896
340000,21762
350000,22692
360000,23567
370000,24323
380000,24897
390000,25615
400000,26367
410000,27016
420000,27837
430000,28539
440000,29393
450000,30119
460000,30790
470000,31472
480000,32284
490000,33012
500000,33779
