step,stat/ep_length
10000,164.9
20000,99.2
30000,52.1
40000,113.3
50000,88.2
60000,94.7
70000,135.1
80000,151.0
90000,133.3
100000,112.8
110000,127.9
120000,132.2
130000,93.7
140000,81.7
150000,105.4
160000,78.4
170000,66.0
180000,77.0
190000,132.9
200000,97.7
210000,67.9
220000,89.4
230000,128.3
240000,86.7
250000,95.2
260000,72.1
270000,151.6
280000,155.0
290000,52.5
300000,124.7
310000,38.7
320000,56.6
330000,71.9
340000,57.3
350000,103.7
360000,93.8
370000,67.6
380000,81.4
390000,93.6
400000,117.7
410000,52.1
420000,66.1
430000,78.2
440000,72.2
450000,105.4
460000,100.4
470000,80.6
480000,45.4
490000,114.7
500000,119.8
