step,adv_reward/adv_reward_temperature
10000,15.0
20000,15.0
30000,15.0
40000,15.0
50000,15.0
60000,15.0
70000,15.0
80000,15.0
90000,15.0
100000,15.0
110000,15.0
120000,15.0
130000,15.0
140000,15.0
150000,15.0
160000,15.0
170000,15.0
180000,15.0
190000,15.0
200000,15.0
210000,15.0
220000,15.0
230000,15.0
240000,15.0
250000,15.0
260000,15.0
270000,15.0
280000,15.0
290000,15.0
300000,15.0
310000,15.0
320000,15.0
330000,15.0
340000,15.0
350000,15.0
360000,15.0
370000,15.0
380000,15.0
390000,15.0
400000,15.0
410000,15.0
420000,15.0
430000,15.0
440000,15.0
450000,15.0
460000,15.0
470000,15.0
480000,15.0
490000,15.0
500000,15.0
