step,loss/value_loss
10000,451226.9085185903
20000,279260.3826241861
30000,211003.89113402934
40000,247846.1390455015
50000,163974.85262990586
60000,90159.89037727556
70000,147443.486337828
80000,170550.0559995323
90000,66906.32909773299
100000,93864.58409965737
110000,50864.5711826782
120000,51649.43608632802
130000,18323.507539420178
140000,13220.257442122496
150000,5657.438058776538
160000,27976.706449239842
170000,8504.22111873842
180000,9385.071954949864
190000,6848.107622890132
200000,8578.567097676794
210000,6995.967653987522
220000,6123.655548757391
230000,7271.964334965744
240000,5671.7896553554365
250000,5751.040788710446
260000,12579.6277852225
270000,3734.1848697693313
280000,9813.9823672943
290000,7162.8885135599485
300000,6376.4820547820145
310000,8798.308098155565
320000,5262.280897492312
330000,16238.023175484332
340000,1940.2756503213975
350000,11052.565250819509
360000,10110.343614724728
370000,9695.660584012116
380000,8466.833207939038
390000,8816.043325893419
400000,5162.536552454589
410000,2927.7357592643657
420000,3758.823423421623
430000,6221.981124441407
440000,19953.54320272617
450000,4013.0875055401957
460000,7630.72913697854
470000,18639.352041040132
480000,5284.133338322938
490000,8226.197774256572
500000,3817.6991820974335
