step,stat/constraint_violation
10000,368
20000,805
30000,1159
40000,1477
50000,1773
60000,2130
70000,2611
80000,2911
90000,3337
100000,3748
110000,4247
120000,4715
130000,5434
140000,6203
150000,7005
160000,7776
170000,8563
180000,9473
190000,10188
200000,10886
210000,11684
220000,12558
230000,13368
240000,14165
250000,14931
260000,15637
270000,16545
280000,17386
290000,18067
300000,18723
310000,19523
320000,20174
330000,20938
340000,21851
350000,22823
360000,23658
370000,24431
380000,25278
390000,26101
400000,26849
410000,27560
420000,28398
430000,29219
440000,29990
450000,30781
460000,31585
470000,32377
480000,33347
490000,34160
500000,34981
