step,stat/ep_constraint_violation
10000,8.4
20000,7.4
30000,2.6
40000,6.8
50000,2.7
60000,3.6
70000,7.6
80000,3.9
90000,5.7
100000,2.7
110000,5.2
120000,5.5
130000,10.1
140000,5.8
150000,6.8
160000,7.4
170000,2.9
180000,9.3
190000,7.9
200000,7.5
210000,9.2
220000,7.3
230000,6.7
240000,5.9
250000,3.6
260000,5.4
270000,7.3
280000,5.8
290000,6.1
300000,7.2
310000,4.7
320000,10.1
330000,6.9
340000,10.9
350000,7.9
360000,2.9
370000,6.2
380000,4.1
390000,6.9
400000,10.0
410000,10.3
420000,7.2
430000,8.9
440000,8.4
450000,9.4
460000,8.8
470000,6.7
480000,5.1
490000,4.6
500000,8.2
