step,stat/ep_length
10000,164.9
20000,99.2
30000,52.1
40000,113.3
50000,88.2
60000,94.7
70000,135.1
80000,151.0
90000,133.3
100000,112.8
110000,127.9
120000,132.2
130000,119.0
140000,63.7
150000,110.2
160000,51.2
170000,50.2
180000,93.5
190000,114.1
200000,104.4
210000,96.7
220000,96.6
230000,122.7
240000,46.8
250000,85.2
260000,80.3
270000,81.4
280000,114.2
290000,93.3
300000,100.0
310000,59.8
320000,118.8
330000,99.0
340000,87.8
350000,98.5
360000,85.9
370000,86.1
380000,50.1
390000,129.1
400000,119.0
410000,131.0
420000,87.8
430000,100.5
440000,91.4
450000,75.8
460000,103.6
470000,88.7
480000,84.7
490000,90.9
500000,98.0
