step,loss/entropy_loss
2000,-0.9313217341899872
4000,-0.9321717619895935
6000,-0.9296735525131226
8000,-0.9298423528671265
10000,-0.9299321720997492
12000,-0.9300704588492712
14000,-0.9296069741249084
16000,-0.9307359457015991
18000,-0.9307359457015991
20000,-0.9295986890792847
22000,-0.9295105934143066
24000,-0.9294638633728027
26000,-0.9294429421424866
28000,-0.9294348359107971
30000,-0.9297039399544398
32000,-0.9304561614990234
34000,-0.930489456653595
36000,-0.9310756921768188
38000,-0.9284012258052826
40000,-0.9283671418825785
42000,-0.9231554826100667
44000,-0.9090476234753927
46000,-0.88367793460687
48000,-0.8663689176241556
50000,-0.8311786681413651
52000,-0.7985125124454497
54000,-0.80288927257061
56000,-0.7909362196922303
58000,-0.770737025141716
60000,-0.7690969755252202
62000,-0.768896367152532
64000,-0.7616188387076062
66000,-0.7822291264931361
68000,-0.7798742969830831
70000,-0.7905695984760921
72000,-0.7868328034877776
74000,-0.7630103200674057
76000,-0.7454590847094853
78000,-0.7196831593910853
80000,-0.7127325276533764
82000,-0.715329201022784
84000,-0.7232587287823359
86000,-0.7152204602956772
88000,-0.7241258045037589
90000,-0.7156424949566523
92000,-0.7062068442503613
94000,-0.7063494970401127
96000,-0.6952491323153178
98000,-0.6979265977938969
100000,-0.6712861865758896
