step,loss/value_loss
2000,22036.158365014046
4000,21017.791612249275
6000,17500.617098898212
8000,12804.476773254126
10000,23557.752293239282
12000,17416.935064317608
14000,9696.823529120871
16000,21210.09930518619
18000,16665.28690191884
20000,9323.260288231268
22000,11730.684334156324
24000,10280.176761873485
26000,7663.871168079674
28000,14807.413423796781
30000,19698.16728499676
32000,12368.188461967588
34000,13413.302899577218
36000,10078.968023330115
38000,4952.240068960656
40000,14487.299926471005
42000,14202.541408571027
44000,6783.798913514425
46000,12987.188196708754
48000,17030.256276697557
50000,26618.516650720365
52000,35177.726861895244
54000,35516.083534063386
56000,27784.22049937279
58000,26400.054254400886
60000,27828.185404081003
62000,20623.731673199924
64000,31063.113412331608
66000,18121.395178116916
68000,31691.45011548212
70000,18083.35650567068
72000,23451.139972136527
74000,21488.80743991956
76000,28451.429631686122
78000,31375.37320731132
80000,41860.87283123341
82000,33954.90226448231
84000,30966.22752778851
86000,37942.317074531005
88000,28302.74826591843
90000,28308.93083450955
92000,38853.989588435914
94000,22132.30434118957
96000,28455.30972616903
98000,40376.91966906499
100000,23897.967262510916
