step,stat/ep_constraint_violation
2000,10.7
4000,9.1
6000,21.3
8000,8.9
10000,9.5
12000,18.9
14000,9.6
16000,11.3
18000,22.2
20000,21.0
22000,9.9
24000,19.6
26000,21.2
28000,9.7
30000,16.8
32000,23.0
34000,15.1
36000,22.0
38000,20.5
40000,14.7
42000,19.3
44000,19.8
46000,24.6
48000,22.7
50000,27.0
52000,22.2
54000,37.3
56000,26.1
58000,37.2
60000,36.8
62000,44.7
64000,48.2
66000,36.6
68000,41.2
70000,40.4
72000,40.3
74000,35.7
76000,51.8
78000,43.4
80000,44.3
82000,41.2
84000,39.5
86000,40.5
88000,49.1
90000,52.0
92000,36.0
94000,40.0
96000,32.4
98000,27.6
100000,32.8
