step,stat/ep_length
2000,12.3
4000,12.9
6000,26.0
8000,11.6
10000,12.2
12000,25.3
14000,12.2
16000,14.0
18000,27.7
20000,26.8
22000,12.0
24000,27.9
26000,29.9
28000,12.6
30000,29.4
32000,29.9
34000,18.9
36000,29.9
38000,31.2
40000,17.3
42000,34.3
44000,34.8
46000,41.2
48000,38.5
50000,51.7
52000,61.3
54000,89.5
56000,64.6
58000,66.8
60000,144.5
62000,114.1
64000,138.1
66000,142.1
68000,120.1
70000,101.0
72000,90.7
74000,97.1
76000,144.9
78000,127.8
80000,123.3
82000,116.1
84000,145.6
86000,140.9
88000,126.2
90000,139.1
92000,129.1
94000,129.6
96000,89.5
98000,113.5
100000,111.6
