step,adv_reward/adv_reward_temperature
2000,30.0
4000,30.0
6000,30.0
8000,30.0
10000,30.0
12000,30.0
14000,30.0
16000,30.0
18000,30.0
20000,30.0
22000,30.0
24000,30.0
26000,30.0
28000,30.0
30000,30.0
32000,30.0
34000,30.0
36000,30.0
38000,30.0
40000,30.0
42000,30.0
44000,30.0
46000,30.0
48000,30.0
50000,30.0
52000,30.0
54000,30.0
56000,30.0
58000,30.0
60000,30.0
62000,30.0
64000,30.0
66000,30.0
68000,30.0
70000,30.0
72000,30.0
74000,30.0
76000,30.0
78000,30.0
80000,30.0
82000,30.0
84000,30.0
86000,30.0
88000,30.0
90000,30.0
92000,30.0
94000,30.0
96000,30.0
98000,30.0
100000,30.0
