step,loss/entropy_loss
2000,-0.907723805308342
4000,-0.8799676497777303
6000,-0.887985368569692
8000,-0.8830144912004471
10000,-0.8360644648472467
12000,-0.8556679517030716
14000,-0.8359337737162909
16000,-0.8211785743633907
18000,-0.8256649613380432
20000,-0.811684246857961
22000,-0.8101195494333903
24000,-0.8086431711912156
26000,-0.808936063448588
28000,-0.7918752541144689
30000,-0.7870187262694041
32000,-0.7779250721136728
34000,-0.773231664299965
36000,-0.764904335141182
38000,-0.7401089628537496
40000,-0.7273380011320114
42000,-0.7240273624658584
44000,-0.6978270222743351
46000,-0.6971849123636882
48000,-0.6793126463890076
50000,-0.6774190922578176
52000,-0.6796387612819672
54000,-0.6555967350800833
56000,-0.6327903310457865
58000,-0.6186876316865285
60000,-0.6053827782471976
62000,-0.5800645262002945
64000,-0.587540810306867
66000,-0.5820107748111089
68000,-0.5757673849662145
70000,-0.5752006610234579
72000,-0.5670418540636699
74000,-0.5808937480052312
76000,-0.5554263184467951
78000,-0.5514550546805064
80000,-0.565322016676267
82000,-0.5622211913267772
84000,-0.5485537757476171
86000,-0.5434526085853576
88000,-0.5520349740982056
90000,-0.5527131557464598
92000,-0.5533374855915706
94000,-0.5597377826770147
96000,-0.5629219154516856
98000,-0.5686050941546759
100000,-0.5671601663033167
