step,stat/ep_constraint_violation
2000,9.8
4000,10.9
6000,17.0
8000,16.9
10000,19.7
12000,18.2
14000,17.8
16000,21.5
18000,21.8
20000,27.5
22000,28.4
24000,30.4
26000,20.2
28000,35.8
30000,21.0
32000,27.3
34000,35.4
36000,24.2
38000,24.9
40000,22.4
42000,24.3
44000,31.2
46000,36.0
48000,22.3
50000,21.3
52000,39.4
54000,42.9
56000,24.5
58000,23.5
60000,30.5
62000,25.2
64000,24.4
66000,27.5
68000,45.3
70000,34.5
72000,22.8
74000,40.7
76000,37.8
78000,48.9
80000,32.9
82000,35.8
84000,53.5
86000,46.0
88000,51.2
90000,66.3
92000,35.5
94000,40.3
96000,39.9
98000,43.3
100000,35.7
