step,stat/constraint_violation
2000,1121
4000,2236
6000,3344
8000,4318
10000,5384
12000,6306
14000,7162
16000,7961
18000,8770
20000,9590
22000,10771
24000,11853
26000,12849
28000,13829
30000,14696
32000,15646
34000,16549
36000,17625
38000,18478
40000,19060
42000,19734
44000,20591
46000,21386
48000,22145
50000,22637
52000,23271
54000,23889
56000,24365
58000,25000
60000,25878
62000,26528
64000,27188
66000,28064
68000,28670
70000,29291
72000,29960
74000,30557
76000,31052
78000,31856
80000,32279
82000,32678
84000,33218
86000,33577
88000,34189
90000,34783
92000,35403
94000,35863
96000,36577
98000,37136
100000,37989
