step,stat/ep_length
2000,27.5
4000,14.7
6000,30.8
8000,37.4
10000,25.4
12000,42.2
14000,48.4
16000,41.0
18000,41.7
20000,53.9
22000,37.4
24000,45.7
26000,38.3
28000,44.1
30000,52.3
32000,45.4
34000,46.6
36000,41.1
38000,44.7
40000,62.7
42000,82.2
44000,44.2
46000,69.5
48000,92.9
50000,85.8
52000,130.0
54000,125.9
56000,101.3
58000,66.3
60000,74.3
62000,71.1
64000,89.3
66000,48.3
68000,85.1
70000,124.0
72000,116.1
74000,67.3
76000,82.9
78000,82.7
80000,79.2
82000,114.0
84000,139.8
86000,96.0
88000,102.2
90000,150.0
92000,86.1
94000,110.1
96000,142.7
98000,150.0
100000,69.9
