step,loss/value_loss
2000,23110230.524619423
4000,40359944.73725148
6000,62283924.63384356
8000,25790555.466101673
10000,58090345.745538846
12000,59012100.0880784
14000,39482274.28679825
16000,72177902.4363363
18000,107380714.88442616
20000,38077599.94255003
22000,66883137.4776571
24000,82651373.25434113
26000,53022759.08188713
28000,73077945.23401931
30000,62377118.75626142
32000,60682446.633014664
34000,132521277.73816147
36000,78535512.73981902
38000,83543307.08473524
40000,96594050.58573844
42000,125311146.99000902
44000,28190538.244143534
46000,78431295.18560506
48000,54013168.434915505
50000,43182637.81577577
52000,86702938.10357636
54000,99421924.31513992
56000,48417630.935491696
58000,61826672.31538447
60000,66538623.1733253
62000,43108231.87195251
64000,101436679.13193944
66000,70238105.0748227
68000,35382088.757337265
70000,82079859.15809174
72000,55567957.69122918
74000,38292863.65806602
76000,66438917.36853902
78000,62456376.55637193
80000,55069395.64275917
82000,105630824.50318612
84000,95716078.16869798
86000,68407097.30252025
88000,99842646.04613498
90000,77667598.87240586
92000,44075257.531893864
94000,86207022.46727976
96000,110294675.51877439
98000,51397272.425859064
100000,81081675.09393044
