step,loss/value_loss
2000,2494166.625899503
4000,3776327.232942431
6000,4078372.794479268
8000,1408526.8857625362
10000,4052107.0370383323
12000,4945839.161813824
14000,965581.6952009512
16000,4295196.022408937
18000,4192287.6713386155
20000,1058636.525902662
22000,558781.0931442282
24000,2744272.342055137
26000,696424.3906726027
28000,462166.3327890942
30000,1144450.2453359135
32000,233868.8340939795
34000,1267987.1406599947
36000,456435.24110012315
38000,1075809.5164516657
40000,378619.310534117
42000,3452437.446460575
44000,754024.0882355493
46000,2709890.725807255
48000,305397.44374977273
50000,557585.1722018478
52000,1954510.4186203263
54000,1546267.1013466087
56000,2438776.2890509977
58000,1617135.7873655525
60000,160703.7035396892
62000,91905.8438255687
64000,294940.23864957143
66000,212962.58196365964
68000,184031.6714467011
70000,239264.37296382338
72000,5068466.918413464
74000,80551.00824517809
76000,813010.6482979095
78000,6286296.138282539
80000,753715.5677609136
82000,1404309.5691559478
84000,55166.650885893905
86000,201909.94653789682
88000,1126667.3231145793
90000,354526.53869439533
92000,86479.74361222949
94000,5477791.795335301
96000,104903.57622523501
98000,1103048.768244715
100000,277924.94888415944
