step,stat/ep_length
2000,12.8
4000,14.8
6000,31.4
8000,34.6
10000,39.2
12000,37.4
14000,40.4
16000,42.6
18000,46.7
20000,48.7
22000,40.4
24000,50.3
26000,67.0
28000,77.9
30000,53.6
32000,50.8
34000,56.8
36000,36.7
38000,68.1
40000,49.3
42000,77.2
44000,39.1
46000,49.1
48000,46.2
50000,73.1
52000,65.8
54000,85.0
56000,47.6
58000,51.1
60000,90.9
62000,93.8
64000,65.6
66000,52.3
68000,86.5
70000,73.1
72000,69.9
74000,56.1
76000,76.8
78000,121.1
80000,85.8
82000,77.4
84000,137.2
86000,115.2
88000,95.4
90000,135.0
92000,118.2
94000,96.2
96000,109.6
98000,75.6
100000,104.9
