step,adv_reward/adv_reward_scaled_min
2000,-91.20417022705078
4000,99.9999008178711
6000,99.99954986572266
8000,100.0
10000,99.16886901855469
12000,99.87745666503906
14000,100.0
16000,99.98643493652344
18000,100.0
20000,-63.9378776550293
22000,99.9909439086914
24000,99.99996185302734
26000,100.0
28000,-94.28132629394531
30000,-89.72313690185547
32000,99.95117950439453
34000,99.99944305419922
36000,-90.35163116455078
38000,99.99999237060547
40000,83.89910888671875
42000,99.99996948242188
44000,99.99983215332031
46000,100.0
48000,100.0
50000,100.0
52000,100.0
54000,100.0
56000,19.018394470214844
58000,100.0
60000,100.0
62000,100.0
64000,100.0
66000,100.0
68000,100.0
70000,100.0
72000,100.0
74000,99.99903869628906
76000,-99.99967956542969
78000,100.0
80000,100.0
82000,99.99998474121094
84000,100.0
86000,97.19598388671875
88000,100.0
90000,100.0
92000,-99.99967956542969
94000,100.0
96000,100.0
98000,100.0
100000,100.0
