step,loss/entropy_loss
2000,-0.8992837379376095
4000,-0.8462861696879068
6000,-0.8071628212928772
8000,-0.7849780350923539
10000,-0.7611780673265458
12000,-0.7662510722875596
14000,-0.73922900557518
16000,-0.7016533493995667
18000,-0.6910916328430176
20000,-0.7069712748130162
22000,-0.699662874142329
24000,-0.6789887309074403
26000,-0.6737288355827331
28000,-0.6476386586825054
30000,-0.6543698986371358
32000,-0.6363224049409231
34000,-0.6221502423286439
36000,-0.5874908377726873
38000,-0.5885080099105835
40000,-0.5723941296339035
42000,-0.5800620704889298
44000,-0.587429138024648
46000,-0.5878102590640386
48000,-0.5830160796642303
50000,-0.579362440109253
52000,-0.5787470241387686
54000,-0.5751697907845179
56000,-0.5449676404396693
58000,-0.5290390223264694
60000,-0.5280993024508158
62000,-0.5298645933469135
64000,-0.5229434202114741
66000,-0.522100262840589
68000,-0.5159693529208501
70000,-0.5425341596206029
72000,-0.5299260348081589
74000,-0.5176961819330851
76000,-0.5116082747777304
78000,-0.5240003546079
80000,-0.5312997867663701
82000,-0.5365280419588089
84000,-0.5417749692996343
86000,-0.5526918431123098
88000,-0.5538906613985698
90000,-0.5598819414774577
92000,-0.5732690771420796
94000,-0.5876794437567392
96000,-0.5669808089733124
98000,-0.5823429743448894
100000,-0.5838405201832454
