step,stat/ep_constraint_violation
2000,10.4
4000,11.1
6000,15.8
8000,15.1
10000,19.0
12000,17.6
14000,16.8
16000,18.1
18000,15.1
20000,17.5
22000,20.7
24000,20.5
26000,24.8
28000,19.8
30000,25.8
32000,17.4
34000,25.9
36000,17.9
38000,19.6
40000,20.6
42000,32.4
44000,21.5
46000,20.1
48000,25.8
50000,20.4
52000,25.7
54000,22.7
56000,19.6
58000,20.9
60000,18.1
62000,24.0
64000,19.4
66000,19.3
68000,30.3
70000,30.8
72000,18.7
74000,25.0
76000,21.7
78000,32.8
80000,42.1
82000,46.1
84000,40.5
86000,40.5
88000,46.7
90000,54.6
92000,50.1
94000,32.6
96000,32.4
98000,33.2
100000,37.2
