step,stat/constraint_violation
2000,1115
4000,2183
6000,3355
8000,4365
10000,5375
12000,6287
14000,7133
16000,8047
18000,9032
20000,9880
22000,10802
24000,11671
26000,12397
28000,13217
30000,14155
32000,15015
34000,15841
36000,16822
38000,17771
40000,18535
42000,19127
44000,19922
46000,20762
48000,21623
50000,22242
52000,22881
54000,23513
56000,24178
58000,24922
60000,25647
62000,26374
64000,27078
66000,27785
68000,28503
70000,29127
72000,30024
74000,31046
76000,31854
78000,32676
80000,33306
82000,33914
84000,34591
86000,35366
88000,36012
90000,36847
92000,37501
94000,37895
96000,38410
98000,38759
100000,39169
