step,loss/approx_kl
2000,-0.06071041510440409
4000,-0.027362763377216954
6000,-0.08663324847196538
8000,-0.0328160029835999
10000,-0.06271697271925708
12000,-0.059758258246195815
14000,-0.059304142564845584
16000,-0.047358633717522025
18000,-0.048655733047053215
20000,0.005705636320635676
22000,-0.033476143268247445
24000,-0.0806053660189112
26000,-0.06662526926180967
28000,-0.03509235308350374
30000,-0.05651060959789901
32000,-0.04653303977102041
34000,-0.023806523034969964
36000,-0.03134917661858101
38000,-0.07515979340920845
40000,-0.0672289519260327
42000,-0.05508589983607333
44000,-0.05605792269731562
46000,-0.044265488930977884
48000,0.010385852043206491
50000,-0.05251961667866756
52000,-0.0329326025598372
54000,0.11712960416140654
56000,-0.06069866070368637
58000,-0.04848688066316147
60000,-0.045902448256189624
62000,-0.016833456582389772
64000,-0.048885818920098245
66000,-0.015695523633621634
68000,-0.03299290374076615
70000,-0.029746910797742505
72000,0.1458001571552207
74000,-0.043215491056131816
76000,-0.04334723190404474
78000,-0.052701111882925034
80000,-0.03482593038740257
82000,-0.04828271477793654
84000,-0.0003732433853050077
86000,-0.04552730265228699
88000,-0.04074642083141953
90000,-0.06595030354025463
92000,-0.036498151409129306
94000,-0.08125828529397647
96000,-0.05529527996356289
98000,0.07194972938547531
100000,-0.04024041654386868
