step,adv_reward/adv_reward_raw_mean
2000,-499.6429138183594
4000,-749.8258056640625
6000,1.5858527421951294
8000,-749.783935546875
10000,-499.72882080078125
12000,1.281152367591858
14000,-1000.0
16000,-1000.0
18000,2.4549481868743896
20000,-749.8787231445312
22000,-1000.0
24000,1.8346469402313232
26000,-499.7193603515625
28000,-749.8544921875
30000,1.366718053817749
32000,-1000.0
34000,-1000.0
36000,1.6151206493377686
38000,-749.7750244140625
40000,-749.8273315429688
42000,1.4288673400878906
44000,-749.822998046875
46000,-499.61376953125
48000,1.7372509241104126
50000,-499.6560363769531
52000,-499.67626953125
54000,1.5439828634262085
56000,-499.6338806152344
58000,-1000.0
60000,2.1201980113983154
62000,-749.85546875
