step,stat/constraint_violation
2000,1147
4000,2398
6000,3742
8000,5042
10000,6344
12000,7785
14000,9099
16000,10421
18000,11756
20000,13112
22000,14589
24000,16065
26000,17449
28000,18766
30000,20265
32000,21628
34000,22957
36000,24454
38000,25811
40000,27081
42000,28697
44000,30142
46000,31703
48000,33264
50000,34718
52000,36179
54000,37603
56000,39070
58000,40498
60000,42027
62000,43434
64000,44883
66000,46455
68000,47819
70000,49356
72000,50860
74000,52203
76000,53656
78000,55261
80000,56702
82000,58166
84000,59798
86000,61272
88000,62730
90000,64297
92000,65739
94000,67165
96000,68729
98000,70200
100000,71612
