step,stat/ep_length
2000,30.2
4000,15.1
6000,30.0
8000,27.5
10000,19.6
12000,30.6
14000,14.9
16000,19.2
18000,28.2
20000,27.9
22000,17.3
24000,32.8
26000,28.9
28000,18.0
30000,31.8
32000,32.3
34000,18.1
36000,34.2
38000,32.5
40000,20.3
42000,31.2
44000,32.4
46000,18.7
48000,33.4
50000,34.7
52000,17.6
54000,32.6
56000,30.7
58000,21.0
60000,30.8
62000,32.2
64000,24.1
66000,32.8
68000,30.4
70000,18.7
72000,30.3
74000,33.3
76000,24.8
78000,28.6
80000,31.0
82000,15.6
84000,31.0
86000,32.7
88000,17.6
90000,28.1
92000,30.1
94000,20.0
96000,37.4
98000,29.0
100000,20.6
